City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Altar,MX,91.36,clear sky,30.7,-111.8167,Hotel Maria Elena
3,Jamestown,US,76.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Hithadhoo,MV,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
9,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
20,Ormara,PK,81.52,clear sky,25.2088,64.6357,Kenara Colony house for Rent
23,Saint George,US,75.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
24,Matara,LK,76.87,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
35,Garchitorena,PH,79.81,overcast clouds,13.8804,123.6946,Site
38,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,Sao Felix Do Xingu,BR,75.99,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
44,Kapaa,US,83.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Hambantota,LK,78.89,broken clouds,6.1241,81.1185,Bungalow 63
50,Marsh Harbour,BS,81.36,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
51,Meulaboh,ID,77.02,overcast clouds,4.1363,96.1285,Kost Pria
52,Zamora,EC,90.64,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
54,Victoria,HK,78.94,clear sky,22.2855,114.1577,Mini Central
59,Vanimo,PG,77.49,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
63,San Pedro De Macoris,DO,88.41,scattered clouds,18.4616,-69.2972,Apartahotel Guaraguao
74,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,Conakry,GN,84.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
85,Atuona,PF,77.38,clear sky,-9.8,-139.0333,Villa Enata
91,San Patricio,US,86.72,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Bengkulu,ID,75.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Faanui,PF,80.29,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Mabaruma,GY,81.16,few clouds,8.2,-59.7833,Monty Brooms Guest House
111,Kousseri,CM,94.96,few clouds,12.0769,15.0306,Le Pilotis
114,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
119,Yanam,IN,81.63,overcast clouds,16.7333,82.2167,The Regency Hotel
120,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
124,El Jicaro,GT,94.53,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
125,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
127,Coahuayana,MX,89.1,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
128,Hilo,US,93.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
129,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
131,Isagarh,IN,94.84,clear sky,24.8333,77.8833,ACC Cement
150,Barcelos,PT,78.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
151,Pedernales,DO,88.25,few clouds,18.0384,-71.744,Hotel Costa Marina
152,Samarai,PG,81.95,scattered clouds,-10.6167,150.6667,Nuli Sapi
154,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
155,Salalah,OM,80.42,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
