City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,4.61,overcast clouds,2022-05-20 20:54:10
1,Pevek,RU,69.7008,170.3133,32.92,97,79,5.48,broken clouds,2022-05-20 20:54:11
2,Altar,MX,30.7,-111.8167,91.36,16,0,25.86,clear sky,2022-05-20 20:54:11
3,Jamestown,US,42.097,-79.2353,76.95,78,100,8.99,overcast clouds,2022-05-20 20:54:12
4,Fortuna,US,40.5982,-124.1573,66.85,63,20,20.71,few clouds,2022-05-20 20:54:12
5,Hithadhoo,MV,-0.6,73.0833,82.96,73,65,9.22,broken clouds,2022-05-20 20:54:13
6,New Norfolk,AU,-42.7826,147.0587,40.5,87,10,2.42,clear sky,2022-05-20 20:54:14
7,Srednekolymsk,RU,67.45,153.6833,53.24,51,52,14.07,broken clouds,2022-05-20 20:54:14
8,Kisangani,CD,0.5167,25.2,73.18,95,100,1.99,overcast clouds,2022-05-20 20:54:15
9,Alofi,NU,-19.0595,-169.9187,76.89,94,40,5.75,scattered clouds,2022-05-20 20:54:15
10,Albany,US,42.6001,-73.9662,78.24,59,98,3.0,overcast clouds,2022-05-20 20:50:27
11,Chuy,UY,-33.6971,-53.4616,53.73,72,25,5.61,scattered clouds,2022-05-20 20:54:16
12,Hermanus,ZA,-34.4187,19.2345,57.22,71,55,3.11,broken clouds,2022-05-20 20:54:16
13,Boende,CD,-0.2167,20.8667,70.56,99,100,2.44,overcast clouds,2022-05-20 20:54:17
14,Bara,NG,10.3744,10.7288,86.5,47,54,8.05,broken clouds,2022-05-20 20:54:17
15,Sao Filipe,CV,14.8961,-24.4956,74.14,70,72,8.72,broken clouds,2022-05-20 20:54:18
16,Lavrentiya,RU,65.5833,-171.0,35.19,95,47,7.96,scattered clouds,2022-05-20 20:53:30
17,Bredasdorp,ZA,-34.5322,20.0403,51.33,78,6,4.45,clear sky,2022-05-20 20:54:18
18,Bima,ID,-8.4667,118.7167,73.62,92,17,3.38,few clouds,2022-05-20 20:54:19
19,Kruisfontein,ZA,-34.0033,24.7314,54.88,83,100,5.57,light rain,2022-05-20 20:54:19
20,Ormara,PK,25.2088,64.6357,81.52,93,4,15.39,clear sky,2022-05-20 20:54:20
21,Erie,US,42.7667,-78.6664,74.68,71,100,7.0,overcast clouds,2022-05-20 20:54:20
22,Mataura,NZ,-46.1927,168.8643,47.48,91,98,13.2,overcast clouds,2022-05-20 20:54:21
23,Saint George,US,37.1041,-113.5841,75.25,12,0,8.99,clear sky,2022-05-20 20:52:15
24,Matara,LK,5.9485,80.5353,76.87,93,46,7.9,scattered clouds,2022-05-20 20:54:21
25,Yongchang,CN,30.0381,119.7317,60.58,97,62,0.29,broken clouds,2022-05-20 20:54:22
