City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-05-17 03:11:27,-21.3585,55.7679,69.39,82,82,13.73
1,Hobyo,SO,2022-05-17 03:15:27,5.3505,48.5268,79.34,81,4,23.09
2,Bairiki,KI,2022-05-17 03:15:28,1.3292,172.9752,87.8,66,40,11.5
3,Mataura,NZ,2022-05-17 03:15:28,-46.1927,168.8643,54.48,84,100,5.32
4,Huarmey,PE,2022-05-17 03:15:29,-10.0681,-78.1522,64.94,85,97,7.45
5,Severo-Kurilsk,RU,2022-05-17 03:15:30,50.6789,156.125,43.03,79,20,6.71
6,Grindavik,IS,2022-05-17 03:12:57,63.8424,-22.4338,48.67,71,0,5.75
7,Ushuaia,AR,2022-05-17 03:11:31,-54.8,-68.3,40.66,87,75,3.44
8,Hasaki,JP,2022-05-17 03:11:31,35.7333,140.8333,66.29,82,100,16.2
9,Maglod,HU,2022-05-17 03:11:32,47.4426,19.3644,63.93,77,0,2.3
10,Zabrani,RO,2022-05-17 03:11:32,46.0667,21.55,60.17,72,96,4.59
11,Bluff,NZ,2022-05-17 03:11:33,-46.6,168.3333,54.81,83,100,13.69
12,Dillon,US,2022-05-17 03:08:07,34.4166,-79.3712,73.74,84,30,2.95
13,Cape Town,ZA,2022-05-17 03:11:34,-33.9258,18.4232,68.88,55,72,5.99
14,Yellowknife,CA,2022-05-17 03:07:01,62.456,-114.3525,50.13,38,100,15.48
15,Bud,US,2022-05-17 03:11:35,39.447,-86.1758,66.22,69,32,6.91
16,Busselton,AU,2022-05-17 03:11:36,-33.65,115.3333,66.36,52,56,13.0
17,Arraial Do Cabo,BR,2022-05-17 03:11:36,-22.9661,-42.0278,70.74,85,100,7.72
18,Nioro,GM,2022-05-17 03:11:37,13.35,-15.75,77.2,70,11,6.8
19,Qaanaaq,GL,2022-05-17 03:11:37,77.484,-69.3632,16.61,73,50,6.31
20,Thompson,CA,2022-05-17 03:11:38,55.7435,-97.8558,37.51,72,20,4.52
21,Chokurdakh,RU,2022-05-17 03:11:38,70.6333,147.9167,30.7,92,90,4.81
22,Svetlogorsk,BY,2022-05-17 03:11:39,52.6333,29.7333,41.79,87,51,4.97
23,Kankon,IN,2022-05-17 03:11:39,15.0167,74.0167,84.11,76,100,11.41
24,Jamestown,US,2022-05-17 03:08:38,42.097,-79.2353,50.02,85,0,8.05
